PWM1,PWM2,PWM3,PWM4,Airspeed,Throttle,ClimbRate,Current,Voltage,Power,Roll,Pitch,Yaw
1651,1651,1651,1651,2.82102584838867,44,2.82099843025208,33.69,12.6,424.494,0.0020568473264575,0.00178263371344656,-0.129011884331703
1651,1651,1651,1651,2.82102584838867,44,2.82099843025208,33.69,12.6,424.494,0.0020568473264575,0.00178263371344656,-0.129011884331703
1655,1655,1655,1655,3.06114268302918,44,3.06112384796143,34.05,12.6,429.03,0.00236701709218323,0.00194661226123571,-0.129027023911476
1655,1655,1655,1655,3.06114268302918,44,3.06112384796143,34.05,12.6,429.03,0.00236701709218323,0.00194661226123571,-0.129027023911476
1659,1659,1659,1659,3.3038501739502,45,3.30383467674255,34.49,12.6,434.574,0.00248834141530097,0.00210492010228336,-0.129025921225548
1659,1659,1659,1659,3.3038501739502,45,3.30383467674255,34.49,12.6,434.574,0.00248834141530097,0.00210492010228336,-0.129025921225548
1663,1664,1664,1663,3.5486786365509,46,3.54866552352905,34.74,12.6,437.724,0.00246817828156054,0.00205671507865191,-0.129001021385193
1663,1664,1664,1663,3.5486786365509,46,3.54866552352905,34.74,12.6,437.724,0.00246817828156054,0.00205671507865191,-0.129001021385193
1668,1668,1668,1668,3.79540514945984,46,3.79539394378662,35.28,12.6,444.528,0.00268236082047224,0.00216026674024761,-0.129012912511826
1668,1668,1668,1668,3.79540514945984,46,3.79539394378662,35.28,12.6,444.528,0.00268236082047224,0.00216026674024761,-0.129012912511826
1673,1672,1672,1673,4.04121494293213,47,4.04120302200317,35.52,12.6,447.552,0.00297686015255749,0.00245326687581837,-0.129039362072945
1673,1672,1672,1673,4.04121494293213,47,4.04120302200317,35.52,12.6,447.552,0.00297686015255749,0.00245326687581837,-0.129039362072945
1677,1677,1677,1677,4.28762006759644,48,4.28760623931885,36.02,12.6,453.852,0.00288578774780035,0.00242213066667318,-0.12901759147644
1677,1677,1677,1677,4.28762006759644,48,4.28760623931885,36.02,12.6,453.852,0.00288578774780035,0.00242213066667318,-0.12901759147644
1682,1682,1682,1682,4.53517436981201,48,4.53515911102295,36.4,12.6,458.64,0.0028226466383785,0.00242442730814219,-0.129003390669823
1682,1682,1682,1682,4.53517436981201,48,4.53515911102295,36.4,12.6,458.64,0.0028226466383785,0.00242442730814219,-0.129003390669823
1687,1687,1687,1687,4.78324604034424,49,4.78323078155518,36.89,12.6,464.814,0.00283608818426728,0.00258848257362843,-0.129008129239082
